file,stage,type,level,nbytes,serialized_nbytes
results/gl_encrypted_weight_pca32_linear_n1.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n1.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n1.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_linear_n32.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n32.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n32.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_linear_n450.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n450.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n450.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_linear_n8192.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n8192.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_linear_n8192.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_mlp_n1.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n1.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n1.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n1.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_mlp_n1.json,activation,GLCiphertext,2,,
results/gl_encrypted_weight_pca32_mlp_n1.json,linear2,GLCiphertext,1,,
results/gl_encrypted_weight_pca32_mlp_n32.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n32.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n32.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n32.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_mlp_n32.json,activation,GLCiphertext,2,,
results/gl_encrypted_weight_pca32_mlp_n32.json,linear2,GLCiphertext,1,,
results/gl_encrypted_weight_pca32_mlp_n450.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n450.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n450.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n450.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_mlp_n450.json,activation,GLCiphertext,2,,
results/gl_encrypted_weight_pca32_mlp_n450.json,linear2,GLCiphertext,1,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,activation,GLCiphertext,2,,
results/gl_encrypted_weight_pca32_mlp_n8192.json,linear2,GLCiphertext,1,,
results/gl_encrypted_weight_pca32_two_linear_n1.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n1.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n1.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n1.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_two_linear_n1.json,linear2,GLCiphertext,4,,
results/gl_encrypted_weight_pca32_two_linear_n32.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n32.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n32.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n32.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_two_linear_n32.json,linear2,GLCiphertext,4,,
results/gl_encrypted_weight_pca32_two_linear_n450.json,input,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n450.json,weight_w1,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n450.json,weight_w2,GLCiphertext,6,,
results/gl_encrypted_weight_pca32_two_linear_n450.json,linear1,GLCiphertext,5,,
results/gl_encrypted_weight_pca32_two_linear_n450.json,linear2,GLCiphertext,4,,
